,id,retweet_count,favorite_count
210,851224888060895234,6144,21625
211,850753642995093505,9983,32514
212,850380195714523136,2801,13672
213,850333567704068097,356,3579
214,850145622816686080,4107,17110
215,850019790995546112,5267,21450
216,849776966551130114,8190,31954
217,849668094696017920,5344,0
218,849412302885593088,3378,16652
219,849336543269576704,2039,12000
220,849051919805034497,9194,44580
221,848690551926992896,4657,26489
222,848324959059550208,4960,26034
223,848213670039564288,807,8592
224,848212111729840128,3330,17193
225,847978865427394560,3517,0
226,847971574464610304,464,0
227,847962785489326080,5529,24729
228,847842811428974592,1454,5774
229,847617282490613760,454,7384
230,847606175596138505,3660,19746
231,847251039262605312,4634,21522
232,847157206088847362,6335,21061
233,847116187444137987,3449,22576
234,846874817362120707,4246,21177
235,846514051647705089,12569,47179
236,846505985330044928,3354,14947
237,846153765933735936,9819,33504
238,846139713627017216,10666,32572
239,846042936437604353,3124,16882
240,845812042753855489,9484,30961
241,845677943972139009,5187,26533
242,845397057150107648,1976,8054
243,845306882940190720,5851,24654
244,845098359547420673,8332,0
245,844979544864018432,2812,14430
246,844973813909606400,3493,15999
247,844704788403113984,11240,40989
248,844580511645339650,3411,17423
249,844223788422217728,2385,14414
250,843981021012017153,3176,15991
251,843856843873095681,5020,22663
252,843604394117681152,2984,17885
253,843235543001513987,6589,22772
254,842846295480000512,3901,16124
255,842765311967449089,1389,7152
256,842535590457499648,3807,19182
257,842163532590374912,6325,25969
258,842115215311396866,3291,14863
259,841833993020538882,16805,0
260,841680585030541313,8448,27203
261,841439858740625411,4011,13417
262,841320156043304961,5919,20960
263,841314665196081154,5136,16865
264,841077006473256960,5782,24334
265,840761248237133825,1919,0
266,840728873075638272,17724,0
267,840698636975636481,3,192
268,840696689258311684,1078,13083
269,840632337062862849,1919,9544
270,840370681858686976,4985,17502
271,840268004936019968,6262,20490
272,839990271299457024,2514,14285
273,839549326359670784,8500,29287
274,839290600511926273,155,0
275,839239871831150596,7176,28947
276,838952994649550848,4358,20883
277,838921590096166913,2273,11898
